"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
8,1 Jan 2026 23:05:28.092,1 Jan 2026 23:14:55.571,567.479

Statistics
"Min Duration",7,1 Jan 2026 21:25:53.784,1 Jan 2026 21:30:17.368,263.584
"Max Duration",4,1 Jan 2026 16:17:29.339,1 Jan 2026 16:30:06.983,757.645
"Mean Duration",,,,564.091
"Total Duration",,,,4512.725


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 00:15:14.306,1 Jan 2026 00:19:19.290,244.984
2,1 Jan 2026 01:55:43.033,1 Jan 2026 02:03:31.712,468.679
3,1 Jan 2026 03:34:56.170,1 Jan 2026 03:46:59.474,723.304
4,1 Jan 2026 05:15:02.200,1 Jan 2026 05:27:23.734,741.534
5,1 Jan 2026 19:01:12.438,1 Jan 2026 19:13:34.322,741.885
6,1 Jan 2026 20:41:37.188,1 Jan 2026 20:53:40.113,722.926
7,1 Jan 2026 22:25:05.334,1 Jan 2026 22:32:53.219,467.885

Statistics
"Min Duration",1,1 Jan 2026 00:15:14.306,1 Jan 2026 00:19:19.290,244.984
"Max Duration",5,1 Jan 2026 19:01:12.438,1 Jan 2026 19:13:34.322,741.885
"Mean Duration",,,,587.314
"Total Duration",,,,4111.196


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 01:30:53.418,1 Jan 2026 01:37:18.928,385.510
2,1 Jan 2026 03:10:05.814,1 Jan 2026 03:21:23.402,677.587
3,1 Jan 2026 04:49:50.912,1 Jan 2026 05:02:36.813,765.901
4,1 Jan 2026 06:32:12.901,1 Jan 2026 06:39:45.928,453.026
5,1 Jan 2026 18:36:40.737,1 Jan 2026 18:48:12.192,691.455
6,1 Jan 2026 20:16:12.586,1 Jan 2026 20:28:46.670,754.084
7,1 Jan 2026 21:58:58.580,1 Jan 2026 22:08:05.834,547.254
8,1 Jan 2026 23:43:35.841,1 Jan 2026 23:47:48.315,252.473

Statistics
"Min Duration",8,1 Jan 2026 23:43:35.841,1 Jan 2026 23:47:48.315,252.473
"Max Duration",3,1 Jan 2026 04:49:50.912,1 Jan 2026 05:02:36.813,765.901
"Mean Duration",,,,565.911
"Total Duration",,,,4527.291


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 01:05:57.729,1 Jan 2026 01:11:05.402,307.673
2,1 Jan 2026 02:45:17.575,1 Jan 2026 02:55:36.123,618.548
3,1 Jan 2026 04:24:47.416,1 Jan 2026 04:37:36.565,769.149
4,1 Jan 2026 06:06:03.435,1 Jan 2026 06:16:06.848,603.413
5,1 Jan 2026 18:12:28.930,1 Jan 2026 18:22:33.417,604.487
6,1 Jan 2026 19:50:59.866,1 Jan 2026 20:03:48.954,769.088
7,1 Jan 2026 21:33:00.755,1 Jan 2026 21:43:18.673,617.919
8,1 Jan 2026 23:17:31.651,1 Jan 2026 23:22:38.645,306.994

Statistics
"Min Duration",8,1 Jan 2026 23:17:31.651,1 Jan 2026 23:22:38.645,306.994
"Max Duration",3,1 Jan 2026 04:24:47.416,1 Jan 2026 04:37:36.565,769.149
"Mean Duration",,,,574.659
"Total Duration",,,,4597.270


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 00:40:48.252,1 Jan 2026 00:45:01.053,252.801
2,1 Jan 2026 02:20:30.407,1 Jan 2026 02:29:38.396,547.989
3,1 Jan 2026 03:59:49.656,1 Jan 2026 04:12:23.966,754.310
4,1 Jan 2026 05:40:24.457,1 Jan 2026 05:51:55.274,690.817
5,1 Jan 2026 17:48:49.407,1 Jan 2026 17:56:24.381,454.974
6,1 Jan 2026 19:25:59.490,1 Jan 2026 19:38:45.522,766.032
7,1 Jan 2026 21:07:13.375,1 Jan 2026 21:18:30.448,677.073
8,1 Jan 2026 22:51:18.161,1 Jan 2026 22:57:42.872,384.711

Statistics
"Min Duration",1,1 Jan 2026 00:40:48.252,1 Jan 2026 00:45:01.053,252.801
"Max Duration",6,1 Jan 2026 19:25:59.490,1 Jan 2026 19:38:45.522,766.032
"Mean Duration",,,,566.088
"Total Duration",,,,4528.705


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 00:00:00.000,1 Jan 2026 00:08:41.088,521.088
2,1 Jan 2026 01:39:45.999,1 Jan 2026 01:47:55.325,489.325
3,1 Jan 2026 03:24:08.095,1 Jan 2026 03:28:09.716,241.621
